Id,R_2025_26,RM_2025_26,Nome,Squadra_2025_26,Qt.A_2025_26,Qt.I_2025_26,Diff._2025_26,Qt.A M_2025_26,Qt.I M_2025_26,Diff.M_2025_26,FVM_2025_26,FVM M_2025_26,Rm_2025_26,Pv_2025_26,Mv_2025_26,Fm_2025_26,Gf_2025_26,Gs_2025_26,Rp_2025_26,Rc_2025_26,R+_2025_26,R-_2025_26,Ass_2025_26,Amm_2025_26,Esp_2025_26,Au_2025_26,R_2022_23,RM_2022_23,Squadra_2022_23,Qt.A_2022_23,Qt.I_2022_23,Diff._2022_23,Qt.A M_2022_23,Qt.I M_2022_23,Diff.M_2022_23,FVM_2022_23,FVM M_2022_23,Rm_2022_23,Pv_2022_23,Mv_2022_23,Fm_2022_23,Gf_2022_23,Gs_2022_23,Rp_2022_23,Rc_2022_23,R+_2022_23,R-_2022_23,Ass_2022_23,Amm_2022_23,Esp_2022_23,Au_2022_23,R_2023_24,RM_2023_24,Squadra_2023_24,Qt.A_2023_24,Qt.I_2023_24,Diff._2023_24,Qt.A M_2023_24,Qt.I M_2023_24,Diff.M_2023_24,FVM_2023_24,FVM M_2023_24,Rm_2023_24,Pv_2023_24,Mv_2023_24,Fm_2023_24,Gf_2023_24,Gs_2023_24,Rp_2023_24,Rc_2023_24,R+_2023_24,R-_2023_24,Ass_2023_24,Amm_2023_24,Esp_2023_24,Au_2023_24,R_2024_25,RM_2024_25,Squadra_2024_25,Qt.A_2024_25,Qt.I_2024_25,Diff._2024_25,Qt.A M_2024_25,Qt.I M_2024_25,Diff.M_2024_25,FVM_2024_25,FVM M_2024_25,Rm_2024_25,Pv_2024_25,Mv_2024_25,Fm_2024_25,Gf_2024_25,Gs_2024_25,Rp_2024_25,Rc_2024_25,R+_2024_25,R-_2024_25,Ass_2024_25,Amm_2024_25,Esp_2024_25,Au_2024_25,Fattore_Fantahack,Media_Fantamedia_Ponderata,Media_Partite_Giocate_Ponderata,Top_Player,Unicorno,Probabilità_Top_Player,Top_Player_AI,Fattore_Fantahack_AI,Unicorno_AI,Squadra_AI
632,C,W;A,Anichini,Lazio,349,383,83,25,25,0,643,197,666,411,92,0,329,244,0,0,0,0,16,267,425,410,C,W;A,Lazio,28,20,8,28,20,8,180,180,666,35,6.54,7.44,10,0,0,1,1,0,6,9,0,0,C,W;A,Lazio,16,28,-12,16,28,-12,120,120,666,28,6.23,6.77,6,0,0,0,0,0,1,8,0,0,C,W;A,Lazio,23,27,-4,23,26,-3,170,170,666,34,6.28,7.01,8,0,0,2,2,0,6,10,0,0,0.2687994051909482,4.653999999999999,21.533333333333328,1,0,0.97,1,0.2607354230352197,0,Squadra_5_AI
633,N.D.,N.D.,Rosiello,N.D.,293,245,499,666,666,666,521,666,666,172,119,666,5,587,666,666,666,666,213,355,539,112,D,Ds;E,Lazio,1,2,-1,1,2,-1,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.0,0.0,0,0,0.0,0,0.0,0,N.D.
640,N.D.,N.D.,Tebaldi,N.D.,285,441,161,666,666,666,378,666,666,529,571,666,297,176,666,666,666,666,599,144,342,577,D,Dc,Cremonese,4,5,-1,4,5,-1,8,8,666,15,6.0,5.8,0,0,0,0,0,0,0,2,0,1,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3866666666666666,1.0,0,0,0.0,0,0.0,0,N.D.
643,N.D.,N.D.,Ponti,N.D.,376,276,376,666,666,666,273,666,666,590,517,666,248,278,666,666,666,666,492,125,173,226,A,A,Sassuolo,7,8,-1,7,8,-1,14,14,666,25,5.74,5.96,2,0,0,0,0,0,1,3,0,0,A,A,Sassuolo,9,9,0,9,9,0,10,10,666,13,5.92,6.31,1,0,0,0,0,0,2,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.659333333333333,4.266666666666667,0,0,0.0,0,0.0,0,N.D.
645,N.D.,N.D.,Trotta,N.D.,177,524,565,666,666,666,640,666,666,477,229,666,544,490,666,666,666,666,85,312,366,643,C,C;T,Lazio,25,29,-4,25,29,-4,193,193,666,36,6.25,7.08,9,0,0,0,0,0,8,10,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.472,2.4,0,0,0.0,0,0.0,0,N.D.
647,A,Pc,Agostini,Fiorentina,327,297,307,15,15,0,516,68,666,468,315,0,511,85,0,0,0,0,547,489,443,348,A,Pc,Inter,22,16,6,22,15,7,48,48,666,28,6.23,7.25,9,0,0,0,0,0,3,3,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0287121223378214,0.4833333333333333,1.8666666666666665,0,0,0.0,0,0.0,0,N.D.
660,N.D.,N.D.,Campise,N.D.,563,158,509,666,666,666,150,666,666,472,210,666,15,314,666,666,666,666,143,612,304,635,D,Dc,Salernitana,6,4,2,6,4,2,14,14,666,23,6.0,5.93,0,0,0,0,0,0,1,5,0,0,D,Dc,Salernitana,2,6,-4,2,6,-4,11,11,666,22,5.36,5.07,0,0,0,0,0,0,0,9,0,1,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.409333333333333,5.933333333333333,0,0,0.0,0,0.0,0,N.D.
662,N.D.,N.D.,Abatantuono,N.D.,152,39,490,666,666,666,659,666,666,621,481,666,474,240,666,666,666,666,88,268,434,616,D,Ds;E,Juventus,3,8,-5,3,8,-5,13,13,666,23,5.61,5.52,0,0,0,0,0,0,1,4,1,0,D,Ds;Dc,Juventus,4,6,-2,4,7,-3,16,20,666,10,6.0,6.25,1,0,0,0,0,0,0,1,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.618,3.533333333333333,0,0,0.0,0,0.0,0,N.D.
666,N.D.,N.D.,Fallaci,N.D.,653,310,565,666,666,666,405,666,666,644,563,666,481,333,666,666,666,666,207,566,214,109,C,C;T,Monza,5,4,1,5,4,1,8,8,666,21,5.9,5.9,0,0,0,0,0,0,2,4,0,0,C,C,Monza,1,5,-4,2,4,-2,6,5,666,8,5.94,5.81,0,0,0,0,0,0,0,2,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.5553333333333332,3.0,0,0,0.0,0,0.0,0,N.D.
673,N.D.,N.D.,Novaro,N.D.,276,451,154,666,666,666,343,666,666,466,257,666,613,589,666,666,666,666,374,639,663,261,P,Por,Empoli,6,1,5,6,1,5,1,1,666,7,6.21,4.93,0,9,0,0,0,0,0,0,0,0,P,Por,Empoli,1,2,-1,1,2,-1,1,1,666,1,5.0,3.0,0,2,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.9286666666666664,0.6666666666666665,0,0,0.0,0,0.0,0,N.D.
694,N.D.,N.D.,Esposito,N.D.,551,163,262,666,666,666,454,666,666,193,437,666,640,597,666,666,666,666,659,472,488,633,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,C,W,Frosinone,2,3,-1,2,3,-1,14,14,666,10,6.0,6.25,1,0,0,0,0,0,0,1,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.2499999999999998,2.0,0,0,0.0,0,0.0,0,N.D.
695,N.D.,N.D.,Garozzo,N.D.,265,200,323,666,666,666,593,666,666,136,595,666,257,343,666,666,666,666,317,464,584,517,D,Dc,Atalanta,10,8,2,10,8,2,12,12,666,32,5.98,6.05,2,0,0,0,0,0,0,8,0,0,D,Dc,Atalanta,4,9,-5,4,9,-5,13,13,666,14,5.89,5.68,0,0,0,0,0,0,0,4,1,0,D,Dc,Atalanta,3,4,-1,3,4,-1,12,12,666,9,5.94,5.89,0,0,0,0,0,0,0,1,0,0,0.0,3.895333333333333,8.533333333333333,0,0,0.16,0,0.0,0,N.D.
696,N.D.,N.D.,Nugnes,N.D.,258,494,642,666,666,666,138,666,666,280,101,666,515,204,666,666,666,666,1,395,471,538,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,A,Pc,Genoa,2,10,-8,2,10,-8,5,5,666,3,6.0,5.83,0,0,0,0,0,0,0,2,0,0,0.0,2.3319999999999994,1.1999999999999995,0,0,0.0,0,0.0,0,N.D.
697,N.D.,N.D.,Sbarbaro,N.D.,572,651,54,666,666,666,28,666,666,634,138,666,575,158,666,666,666,666,121,28,329,239,C,E;W,Juventus,7,15,-8,7,15,-8,22,22,666,30,5.85,5.92,1,0,0,0,0,0,3,6,1,0,D,E,Inter,5,9,-4,5,8,-3,12,12,666,10,6.05,6.2,0,0,0,0,0,0,2,1,0,0,D,E,Atalanta,8,4,4,8,4,4,15,15,666,20,6.08,6.1,0,0,0,0,0,0,2,3,0,0,0.0,4.0746666666666655,11.999999999999998,0,0,0.2,0,0.0,0,N.D.
729,N.D.,N.D.,Palmisano,N.D.,68,406,599,666,666,666,201,666,666,590,533,666,612,641,666,666,666,666,53,414,89,132,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,D,Dd;E,Monza,4,1,3,4,1,3,14,14,666,19,5.76,5.74,0,0,0,0,0,0,1,3,0,0,D,Dd;E,Monza,4,5,-1,4,5,-1,11,11,666,33,5.64,5.65,1,0,0,0,0,0,2,10,0,0,0.0,3.4079999999999995,16.999999999999996,0,0,0.03,0,0.0,0,N.D.
761,P,Por,Tirabassi,Cremonese,40,522,23,5,5,0,127,12,666,212,369,0,213,145,0,0,0,0,193,140,317,323,P,Por,Sampdoria,7,10,-3,7,10,-3,5,5,666,25,6.3,4.88,0,39,2,0,0,0,0,1,0,1,P,Por,Inter,6,1,5,6,1,5,1,1,666,4,6.0,5.25,0,3,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0404899024372186,1.3753333333333329,2.4666666666666663,0,0,0.0,0,0.0,0,N.D.
770,D,Ds;E,Scaduto,Cremonese,575,544,288,5,5,0,231,13,666,400,569,0,561,374,0,0,0,0,472,125,120,253,D,Ds;E,Lecce,2,6,-4,2,6,-4,5,5,666,14,5.71,5.71,0,0,0,0,0,0,1,2,0,0,D,Ds;E,Empoli,3,5,-2,3,5,-2,5,5,666,15,5.63,5.5,0,0,0,0,0,0,0,4,0,0,D,Ds;E,Empoli,10,5,5,10,5,5,19,19,666,35,6.03,6.04,0,0,0,0,0,0,4,7,0,0,0.3492724643535732,3.896666666666665,17.93333333333333,1,1,0.92,1,0.3213306672052874,1,Squadra_1_AI
779,C,M;C,Platini,Roma,652,469,279,9,9,0,487,25,666,205,560,0,122,44,0,0,0,0,250,47,402,87,C,M;C,Roma,8,9,-1,8,9,-1,20,22,666,36,5.99,5.89,1,0,0,1,0,1,1,7,1,0,C,M;C,Roma,15,9,6,14,10,4,34,40,666,37,6.11,6.35,3,0,0,0,0,0,4,8,0,0,C,M;C,Roma,15,9,6,15,10,5,32,42,666,28,6.2,6.59,4,0,0,0,0,0,3,8,0,0,0.3447082482625696,4.298666666666667,21.0,1,0,1.0,1,0.3447082482625696,1,Squadra_3_AI
785,A,Pc,Sauro,Bologna,253,606,538,19,19,0,552,140,666,377,621,0,26,587,0,0,0,0,3,371,17,435,A,Pc,Lazio,28,42,-14,28,42,-14,237,237,666,29,6.22,7.48,12,0,0,5,4,1,5,3,0,0,A,Pc,Lazio,16,32,-16,16,32,-16,150,150,666,28,5.91,6.59,7,0,0,4,4,0,1,8,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.1008586340049885,1.8166666666666664,7.533333333333332,0,0,0.0,0,0.0,0,N.D.
787,D,Dc,Boitani,Atalanta,223,383,614,8,8,0,338,15,666,35,78,0,513,476,0,0,0,0,408,434,417,152,D,Dc,Atalanta,7,7,0,7,7,0,12,12,666,22,5.91,5.89,0,0,0,0,0,0,1,3,0,0,D,Dc,Atalanta,8,7,1,8,7,1,33,33,666,36,5.94,5.92,0,0,0,0,0,0,1,4,0,0,D,Dc,Atalanta,8,8,0,8,8,0,23,23,666,33,5.88,5.88,1,0,0,0,0,0,2,6,0,1,0.345026581673641,3.9286666666666665,21.866666666666667,1,0,1.0,1,0.345026581673641,1,Squadra_1_AI
788,C,M;C,Battisti,Bologna,77,483,651,12,12,0,51,30,666,351,261,0,620,120,0,0,0,0,529,114,553,406,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,C,M;C,Bologna,10,7,3,10,8,2,27,32,666,32,6.11,6.06,1,0,0,0,0,0,0,9,0,0,C,M;C,Bologna,13,9,4,13,10,3,28,38,666,37,6.19,6.22,1,0,0,0,0,0,1,6,0,0,0.3097251175710906,3.6999999999999993,21.2,1,0,0.49,0,0.1517653076098344,0,N.D.
791,D,Dd;Ds;E,Camicione,Genoa,206,361,311,5,5,0,126,13,666,70,158,0,434,77,0,0,0,0,402,391,587,274,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,D,Dd;Ds;E,Genoa,7,4,3,7,5,2,18,22,666,31,5.92,5.87,0,0,0,0,0,0,1,5,0,0,D,Dd;Ds;E,Genoa,7,6,1,7,7,0,9,12,666,30,5.87,5.9,0,0,0,0,0,0,2,3,0,0,0.3519141569071799,3.534,18.2,0,1,0.0,0,0.0,0,N.D.
795,C,W,Fioravanti,Roma,127,110,457,7,7,0,625,17,666,491,554,0,561,438,0,0,0,0,635,392,264,181,C,W;A,Roma,23,9,14,23,9,14,44,44,666,26,6.37,7.15,7,0,0,0,0,0,1,3,0,0,C,W;A,Roma,13,16,-3,13,15,-2,39,39,666,29,6.05,6.4,3,0,0,0,0,0,2,2,0,0,C,W,Roma,15,8,7,15,7,8,16,16,666,21,6.19,6.71,3,0,0,0,0,0,3,2,0,0,0.28344873004625,4.440666666666666,15.93333333333333,1,0,0.985,1,0.2791969990955563,1,Squadra_2_AI
797,N.D.,N.D.,Totino,N.D.,52,630,574,666,666,666,184,666,666,201,94,666,471,273,666,666,666,666,261,425,266,7,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,P,Por,Parma,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,N.D.
798,N.D.,N.D.,Polesel,N.D.,498,29,258,666,666,666,271,666,666,586,299,666,178,393,666,666,666,666,38,538,269,550,D,Dc,Inter,8,17,-9,8,16,-8,5,5,666,21,5.79,5.57,0,0,0,0,0,0,0,3,1,1,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3713333333333333,1.4,0,0,0.0,0,0.0,0,N.D.
799,N.D.,N.D.,Tommaseo,N.D.,308,64,546,666,666,666,73,666,666,260,38,666,196,374,666,666,666,666,631,580,495,645,P,Por,Bologna,1,1,0,1,1,0,1,1,666,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.4,0.0666666666666666,0,0,0.0,0,0.0,0,N.D.
801,N.D.,N.D.,Beccheria,N.D.,249,485,99,666,666,666,50,666,666,466,551,666,236,407,666,666,666,666,60,245,628,55,C,M;C,Inter,2,8,-6,2,8,-6,4,5,666,13,5.62,5.46,0,0,0,0,0,0,0,3,1,0,C,M;C,Monza,8,6,2,8,7,1,25,30,666,32,5.88,5.92,1,0,0,0,0,0,1,5,0,0,C,M;C,Monza,2,5,-3,2,6,-4,4,6,666,6,5.67,5.58,0,0,0,0,0,0,0,1,0,0,0.0,3.78,9.666666666666666,0,0,0.035,0,0.0,0,N.D.
827,C,M;C,Perozzo,Juventus,39,515,349,13,13,0,242,34,666,12,18,0,470,359,0,0,0,0,122,286,211,213,C,M;C,Juventus,10,14,-4,10,14,-4,29,33,666,31,6.15,6.08,0,0,0,0,0,0,2,8,0,0,C,M;C,Juventus,9,12,-3,9,13,-4,28,33,666,35,5.83,5.94,1,0,0,0,0,0,4,6,0,0,C,M;C,Juventus,13,8,5,13,9,4,34,44,666,35,6.19,6.26,2,0,0,1,1,0,1,9,0,0,0.3251610243705045,4.097333333333333,23.066666666666663,1,0,1.0,1,0.3251610243705045,1,Squadra_2_AI
1842,A,A,Paolucci,Sassuolo,59,300,107,5,5,0,111,9,666,415,665,0,93,51,0,0,0,0,362,532,158,210,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.0,0.0,0,0,0.0,0,0.0,0,N.D.
1843,N.D.,N.D.,Mantegna,N.D.,299,218,413,666,666,666,2,666,666,49,617,666,24,421,666,666,666,666,663,425,47,128,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,P,Por,Venezia,8,3,5,8,3,5,21,21,666,15,6.47,5.23,0,18,0,0,0,0,0,1,0,0,0.0,2.092,5.999999999999999,0,0,0.0,0,0.0,0,N.D.
1847,N.D.,N.D.,Broschi,N.D.,390,244,371,666,666,666,625,666,666,141,122,666,198,191,666,666,666,666,310,177,379,599,D,Dc,Spezia,1,6,-5,1,6,-5,8,8,666,16,5.44,5.12,0,0,0,0,0,0,0,6,0,1,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3413333333333332,1.0666666666666669,0,0,0.0,0,0.0,0,N.D.
1852,D,Ds;E,Rosselli,Napoli,495,632,31,7,7,0,425,18,666,397,169,0,561,31,0,0,0,0,551,647,504,367,D,Ds;E,Roma,11,12,-1,11,13,-2,25,26,666,26,6.04,6.25,1,0,0,0,0,0,4,3,0,0,D,E,Roma,10,10,0,10,9,1,20,20,666,23,6.09,6.3,1,0,0,0,0,0,2,0,0,0,D,E,Napoli,11,13,-2,11,12,-1,22,22,666,23,6.07,6.22,1,0,0,0,0,0,1,1,0,0,0.274497318817993,4.164666666666666,15.533333333333331,1,0,0.945,1,0.2593999662830034,0,Squadra_2_AI
1857,N.D.,N.D.,Schiaparelli,N.D.,617,224,620,666,666,666,126,666,666,273,636,666,372,605,666,666,666,666,198,641,598,47,A,A,Lecce,10,12,-2,10,12,-2,12,12,666,34,5.93,6.1,2,0,0,0,0,0,2,5,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.4066666666666666,2.2666666666666666,0,0,0.0,0,0.0,0,N.D.
1868,N.D.,N.D.,Cusano,N.D.,445,194,499,666,666,666,97,666,666,315,561,666,178,173,666,666,666,666,379,627,655,187,D,Ds;E,Sampdoria,3,5,-2,3,5,-2,4,4,666,17,5.56,5.47,0,0,0,0,0,0,0,3,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3646666666666666,1.1333333333333333,0,0,0.0,0,0.0,0,N.D.
1870,C,C,Cilibrasi,Inter,307,92,417,14,14,0,144,58,666,462,632,0,32,460,0,0,0,0,425,508,53,565,C,C,Inter,21,20,1,21,19,2,73,73,666,35,6.26,6.86,6,0,0,0,0,0,6,6,0,0,C,C,Inter,17,20,-3,17,20,-3,57,57,666,37,6.38,6.53,2,0,0,0,0,0,3,7,0,0,C,C,Inter,19,20,-1,19,19,0,55,55,666,33,6.26,6.65,3,0,0,0,0,0,6,4,0,0,0.3304024186676595,4.423333333333333,22.93333333333333,1,0,0.995,1,0.3287504065743212,1,Squadra_2_AI
1871,C,M;C,Carducci,Cagliari,486,60,487,5,5,0,411,12,666,47,384,0,340,607,0,0,0,0,127,579,311,200,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,C,M;C,Cagliari,5,4,1,5,4,1,9,10,666,22,5.7,5.59,1,0,0,0,0,0,0,7,0,1,C,M;C,Cagliari,8,4,4,8,5,3,11,14,666,25,5.98,6.14,2,0,0,0,0,0,1,6,0,0,0.2823218635127884,3.5739999999999994,14.4,0,1,0.01,0,0.0028232186351278,0,N.D.
1889,N.D.,N.D.,Agostinelli,N.D.,398,248,508,666,666,666,368,666,666,653,293,666,503,415,666,666,666,666,356,631,284,493,P,Por,Inter,4,1,3,4,1,3,1,1,666,1,7.0,7.0,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.4666666666666666,0.0666666666666666,0,0,0.0,0,0.0,0,N.D.
1891,D,Dd;Dc,Oscuro,Cremonese,453,76,267,4,4,0,506,12,666,383,478,0,631,487,0,0,0,0,107,483,621,635,D,Dd;Dc,Verona,5,6,-1,5,6,-1,13,14,666,20,5.88,5.9,2,0,0,0,0,0,0,9,1,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0287516312663122,0.3933333333333333,1.333333333333333,0,0,0.0,0,0.0,0,N.D.
1895,N.D.,N.D.,Rastelli,N.D.,23,343,188,666,666,666,420,666,666,344,206,666,61,120,666,666,666,666,336,312,82,434,D,Dc,Sassuolo,5,8,-3,5,8,-3,11,11,666,27,5.8,5.81,1,0,0,0,0,0,0,5,0,0,D,Dc,Sassuolo,5,4,1,5,4,1,12,12,666,27,5.56,5.59,1,0,0,0,0,0,0,4,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.5053333333333332,7.199999999999999,0,0,0.0,0,0.0,0,N.D.
1901,N.D.,N.D.,Petruzzi,N.D.,191,276,491,666,666,666,270,666,666,417,71,666,334,120,666,666,666,666,480,493,108,239,C,M;C,Monza,1,7,-6,1,7,-6,1,1,666,5,5.6,5.8,0,0,0,0,0,0,1,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3866666666666666,0.3333333333333332,0,0,0.0,0,0.0,0,N.D.
1917,N.D.,N.D.,Trillini,N.D.,230,54,566,666,666,666,563,666,666,61,251,666,2,363,666,666,666,666,495,151,294,40,P,Por,Spezia,10,7,3,10,7,3,24,24,666,34,6.26,4.78,0,54,1,0,0,0,1,1,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3186666666666666,2.2666666666666666,0,0,0.0,0,0.0,0,N.D.
1926,P,Por,Bernardi,Inter,396,31,461,1,1,0,421,1,666,298,152,0,556,336,0,0,0,0,639,664,112,184,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,P,Por,Inter,3,1,2,3,1,2,1,1,666,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,P,Por,Inter,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0110322440509855,1.2999999999999998,0.1999999999999999,0,0,0.0,0,0.0,0,N.D.
1930,P,Por,Cafarchia,Juventus,567,413,656,1,1,0,381,1,666,322,267,0,554,529,0,0,0,0,284,462,319,521,P,Por,Juventus,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Por,Juventus,3,1,2,3,1,2,1,1,666,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,P,Por,Juventus,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0110322440509855,1.2999999999999998,0.1999999999999999,0,0,0.0,0,0.0,0,N.D.
1933,C,M;C,Gabba,Fiorentina,202,500,170,14,14,0,102,36,666,99,380,0,334,571,0,0,0,0,97,195,552,442,C,M;C,Fiorentina,11,9,2,11,9,2,22,25,666,28,6.04,6.25,2,0,0,0,0,0,4,8,0,0,C,M;C,Fiorentina,11,9,2,11,10,1,14,19,666,30,5.95,6.28,3,0,0,0,0,0,3,5,0,0,C,M;C,Fiorentina,17,8,9,17,9,8,43,53,666,27,6.19,6.67,4,0,0,1,1,0,4,7,0,0,0.263661022937529,4.340666666666666,18.666666666666664,1,0,1.0,1,0.263661022937529,0,Squadra_4_AI
